"年月日","時刻","天","車番","仕入先コード","仕入先名","支払先コード","支払先名","商品コード","品　　名","運送店コード","運送店名","正味重量","調整重量","数量","単位","単　価","金　額","税抜額","かご引","ﾀﾞｽﾄ引","水引","不明差異","返品引","予備","引物金額","取引区分（コード）","取引区分","払区（コード）","払区","デ区（コード）","デ区","データ識別（コード）","データ識別","締日更新フラグ","月次更新フラグ","支払明細書発行フラグ","オンライン送信済フラグ","伝票No.","支払伝票No.","ルート伝票No.","手入力フラグ","継続伝票区分","継続伝票発行区分","ユーザID","ユーザ名","担当","担当名","ﾔｰﾄﾞｺｰﾄﾞ","ヤード名","計量重量","運転者名","自社他社区分","商品分類コード","かご数量","支払運賃単価","支払運賃金額","備考","仮払い金額","売上伝票No.","支払運賃伝票No.","集計区分1（仕入）","グループ名称1（仕入）","集計区分2（仕入）","グループ名称2（仕入）","集計区分3（仕入）","グループ名称3（仕入）","集計区分4（仕入）","グループ名称4（仕入）","集計区分5（仕入）","グループ名称5（仕入）","集計区分6（仕入）","グループ名称6（仕入）","集計区分7（仕入）","グループ名称7（仕入）","集計区分8（仕入）","グループ名称8（仕入）","集計区分9（仕入）","グループ名称9（仕入）","集計区分10（仕入）","グループ名称10（仕入）","得意先コード","得意先名","請求先コード","請求先名","運送店コード(売上)","運送店名(売上)","運転者名","出荷日付","売上日付","伝票番号(売上)","明細行番号","車番(売上)","取引区分(売上)","取引区分名称(売上)","入金区分","入金区分名称","データ区分","データ区分名称(売上)","商品コード(売上)","商品名(売上)","商品分類コード","本数","正味重量(売上)","かご引","ﾀﾞｽﾄ引","水引","不明差異","返品引","出荷時正味重量","単価(売上)","単価種別","売上運賃単価","売上金額","売上税抜額","支払運賃単価","支払運賃金額","備考","消費税課税対象区分","消費税額","消費税課税対象額","データ識別","データ識別名称","集計区分1（売上）","グループ名称1（売上）","集計区分2（売上）","グループ名称2（売上）","集計区分3（売上）","グループ名称3（売上）","集計区分4（売上）","グループ名称4（売上）","集計区分5（売上）","グループ名称5（売上）","集計区分6（売上）","グループ名称6（売上）","集計区分7（売上）","グループ名称7（売上）","集計区分8（売上）","グループ名称8（売上）","集計区分9（売上）","グループ名称9（売上）","集計区分10（売上）","グループ名称10（売上）"
"2026/06/01","07:24","晴","3710","0813000","三善製紙㈱","0813000","三善製紙㈱","1926","損紙","0000000","","6,090","0","0","kg","1.00","6090","6090","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083035","000000000","000000000","計量器","通常","未発行","1","全社","0000","","27","厚木事業所","6,090","","他社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:26","晴","8994","0083050","㈱神奈中商事","0083050","㈱神奈中商事","1000","段ボールバラ","0000000","","980","0","0","kg","15.00","14700","14700","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083040","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","980","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:28","晴","2154","1709081","㈱ＡＬＦＥＳ(ポジティブ)","1709000","(合)ポジティブ","1000","段ボールバラ","1500070","㈲北湘ｳﾞｨｰｸﾞﾙ","100","0","0","kg","7.00","700","700","0","0","0","0","0","0","0.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083041","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","100","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:28","晴","2154","1033000","㈱セクメット","1033000","㈱セクメット","1000","段ボールバラ","0000000","","100","0","0","kg","14.50","1450","1450","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083042","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","100","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:30","晴","2154","2000050","㈲北湘ｳﾞｨｰｸﾙ","2000050","㈲北湘ｳﾞｨｰｸﾙ","1000","段ボールバラ","0000000","","350","0","0","kg","14.50","5075","5075","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083043","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","350","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:36","晴","8076","3195000","㈱三凌商事","3195000","㈱三凌商事","1000","段ボールバラ","0000000","","810","0","0","kg","12.00","9720","9720","0","0","0","0","0","0","0.00","0","持込","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083044","000000000","000000000","計量器","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","810","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","00004","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:45","晴","2222","1950000","㈱山櫻八王子の森工場","1950000","㈱山櫻八王子の森工場","1000","段ボールバラ","1700021","㈱Ｕ－ＮＥＴ(自社)","130","0","0","kg","2.00","260","260","60","0","0","0","0","0","120.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083112","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","190","","他社","1000","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:45","晴","2222","1950000","㈱山櫻八王子の森工場","1950000","㈱山櫻八王子の森工場","1705","ワンプ","1700021","㈱Ｕ－ＮＥＴ(自社)","90","0","0","kg","1.00","90","90","60","0","0","0","0","0","60.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083112","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","150","","他社","1700","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:45","晴","2222","1950000","㈱山櫻八王子の森工場","1950000","㈱山櫻八王子の森工場","1710","クラフト","1700021","㈱Ｕ－ＮＥＴ(自社)","240","0","0","kg","4.00","960","960","60","0","0","0","0","0","240.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083112","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","300","","他社","1700","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/06/01","09:45","晴","2222","1950000","㈱山櫻八王子の森工場","1950000","㈱山櫻八王子の森工場","1927","窓付廃紙","1700021","㈱Ｕ－ＮＥＴ(自社)","2,660","0","0","kg","1.00","2660","2660","780","0","0","0","0","0","780.00","1","引取","1","買掛","0","仕入","0","窓口","未更新","未更新","未発行","未送信","270083112","000000000","000000000","手入力","通常","未発行","27","厚木事業所","0000","","27","厚木事業所","3,440","","他社","1900","0","0.00","0","","0","000000000","000000000","","","","","","","","","","","","","","","","","","","00002","振込","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
